team,opponent,team_goals,opponent_goals,match_date,neutral,competition_id,round,source
France,Mexico,4,1,1930-07-13,1,FIFA World Cup,Group stage,worldfootballR
United States,Belgium,3,0,1930-07-13,1,FIFA World Cup,Group stage,worldfootballR
Argentina,France,1,0,1930-07-15,1,FIFA World Cup,Group stage,worldfootballR
United States,Paraguay,3,0,1930-07-17,1,FIFA World Cup,Group stage,worldfootballR
Argentina,Mexico,6,3,1930-07-19,1,FIFA World Cup,Group stage,worldfootballR
Paraguay,Belgium,1,0,1930-07-20,1,FIFA World Cup,Group stage,worldfootballR
Argentina,United States,6,1,1930-07-26,1,FIFA World Cup,Semi-finals,worldfootballR
Uruguay,Argentina,4,2,1930-07-30,1,FIFA World Cup,Final,worldfootballR
Austria,France,3,2,1934-05-27,1,FIFA World Cup,Round of 16,worldfootballR
Germany,Belgium,5,2,1934-05-27,1,FIFA World Cup,Round of 16,worldfootballR
Spain,Brazil,3,1,1934-05-27,1,FIFA World Cup,Round of 16,worldfootballR
Sweden,Argentina,3,2,1934-05-27,1,FIFA World Cup,Round of 16,worldfootballR
Switzerland,Netherlands,3,2,1934-05-27,1,FIFA World Cup,Round of 16,worldfootballR
Germany,Sweden,2,1,1934-05-31,1,FIFA World Cup,Quarter-finals,worldfootballR
Germany,Austria,3,2,1934-06-07,1,FIFA World Cup,Third-place match,worldfootballR
Switzerland,Germany,1,1,1938-06-04,1,FIFA World Cup,Round of 16,worldfootballR
France,Belgium,3,1,1938-06-05,1,FIFA World Cup,Round of 16,worldfootballR
Switzerland,Germany,4,2,1938-06-09,1,FIFA World Cup,Round of 16,worldfootballR
Brazil,Sweden,4,2,1938-06-19,1,FIFA World Cup,Third-place match,worldfootballR
Brazil,Mexico,4,0,1950-06-24,1,FIFA World Cup,Group stage,worldfootballR
Spain,United States,3,1,1950-06-25,1,FIFA World Cup,Group stage,worldfootballR
Brazil,Switzerland,2,2,1950-06-28,1,FIFA World Cup,Group stage,worldfootballR
Sweden,Paraguay,2,2,1950-06-29,1,FIFA World Cup,Group stage,worldfootballR
Switzerland,Mexico,2,1,1950-07-02,1,FIFA World Cup,Group stage,worldfootballR
Brazil,Sweden,7,1,1950-07-09,1,FIFA World Cup,Final stage,worldfootballR
Uruguay,Spain,2,2,1950-07-09,1,FIFA World Cup,Final stage,worldfootballR
Brazil,Spain,6,1,1950-07-13,1,FIFA World Cup,Final stage,worldfootballR
Uruguay,Sweden,3,2,1950-07-13,1,FIFA World Cup,Final stage,worldfootballR
Sweden,Spain,3,1,1950-07-16,1,FIFA World Cup,Final stage,worldfootballR
Uruguay,Brazil,2,1,1950-07-16,1,FIFA World Cup,Final stage,worldfootballR
Brazil,Mexico,5,0,1954-06-16,1,FIFA World Cup,Group stage,worldfootballR
France,Mexico,3,2,1954-06-19,1,FIFA World Cup,Group stage,worldfootballR
Switzerland,Austria,5,7,1954-06-26,1,FIFA World Cup,Quarter-finals,worldfootballR
Germany,Austria,6,1,1954-06-30,1,FIFA World Cup,Semi-finals,worldfootballR
Austria,Uruguay,3,1,1954-07-03,1,FIFA World Cup,Third-place match,worldfootballR
Brazil,Austria,3,0,1958-06-08,1,FIFA World Cup,Group stage,worldfootballR
France,Paraguay,7,3,1958-06-08,1,FIFA World Cup,Group stage,worldfootballR
Sweden,Mexico,3,0,1958-06-08,1,FIFA World Cup,Group stage,worldfootballR
Brazil,France,5,2,1958-06-24,1,FIFA World Cup,Semi-finals,worldfootballR
Brazil,Sweden,5,2,1958-06-29,1,FIFA World Cup,Final,worldfootballR
Brazil,Mexico,2,0,1962-05-30,1,FIFA World Cup,Group stage,worldfootballR
Uruguay,Colombia,2,1,1962-05-30,1,FIFA World Cup,Group stage,worldfootballR
Spain,Mexico,1,0,1962-06-03,1,FIFA World Cup,Group stage,worldfootballR
Brazil,Spain,2,1,1962-06-06,1,FIFA World Cup,Group stage,worldfootballR
Argentina,Spain,2,1,1966-07-13,1,FIFA World Cup,Group stage,worldfootballR
France,Mexico,1,1,1966-07-13,1,FIFA World Cup,Group stage,worldfootballR
Spain,Switzerland,2,1,1966-07-15,1,FIFA World Cup,Group stage,worldfootballR
