game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_wc,away_wc
2977684,FIWC,2017,Group A,2018-06-15,3672,3449,0,1,,,Héctor Cúper,Óscar Tabárez,Yekaterinburg Arena,27015.0,Björn Kuipers,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977684,,,Egypt,Uruguay,0:1,national_team_competition,Egypt,Uruguay
2977686,FIWC,2017,Group A,2018-06-20,3449,3807,1,0,,,Óscar Tabárez,Juan Antonio Pizzi,Rostov Arena,42678.0,Clément Turpin,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977686,,,Uruguay,Saudi Arabia,1:0,national_team_competition,Uruguay,Saudi Arabia
2977688,FIWC,2017,Group A,2018-06-25,3807,3672,2,1,,,Juan Antonio Pizzi,Héctor Cúper,Volgograd Arena,36823.0,Wilmar Roldán,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977688,,,Saudi Arabia,Egypt,2:1,national_team_competition,Saudi Arabia,Egypt
2977689,FIWC,2017,Group B,2018-06-15,3575,3582,0,1,,,Hervé Renard,Carlos Queiroz,Gazprom Arena,62548.0,Cüneyt Çakır,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977689,,,Morocco,Iran,0:1,national_team_competition,Morocco,Iran
2977690,FIWC,2017,Group B,2018-06-15,3300,3375,3,3,,,Fernando Santos,Fernando Hierro,Fisht Olympic Stadium,43866.0,Gianluca Rocchi,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977690,,,Portugal,Spain,3:3,national_team_competition,Portugal,Spain
2977691,FIWC,2017,Group B,2018-06-20,3300,3575,1,0,,,Fernando Santos,Hervé Renard,Luzhniki Stadium,78011.0,Mark Geiger,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977691,,,Portugal,Morocco,1:0,national_team_competition,Portugal,Morocco
2977692,FIWC,2017,Group B,2018-06-20,3582,3375,0,1,,,Carlos Queiroz,Fernando Hierro,Ak Bars Arena,42718.0,Andrés Cunha,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977692,,,Iran,Spain,0:1,national_team_competition,Iran,Spain
2977693,FIWC,2017,Group B,2018-06-25,3582,3300,1,1,,,Carlos Queiroz,Fernando Santos,Mordovia Arena,41685.0,Enrique Cáceres,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977693,,,Iran,Portugal,1:1,national_team_competition,Iran,Portugal
2977694,FIWC,2017,Group B,2018-06-25,3375,3575,2,2,,,Fernando Hierro,Hervé Renard,Rostec Arena,33973.0,Ravshan Irmatov,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977694,,,Spain,Morocco,2:2,national_team_competition,Spain,Morocco
2977695,FIWC,2017,Group C,2018-06-16,3377,3433,2,1,,,Didier Deschamps,Bert van Marwijk,Ak Bars Arena,41279.0,Andrés Cunha,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977695,,,France,Australia,2:1,national_team_competition,France,Australia
2977702,FIWC,2017,Group D,2018-06-16,3556,3444,2,0,,,Zlatko Dalic,Gernot Rohr,Rostec Arena,31136.0,Sandro Meira Ricci,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977702,,,Croatia,Nigeria,2:0,national_team_competition,Croatia,Nigeria
2977703,FIWC,2017,Group D,2018-06-21,3437,3556,0,3,,,Jorge Sampaoli,Zlatko Dalic,Nischni-Nowgorod-Stadion,43319.0,Ravshan Irmatov,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2977703,,,Argentina,Croatia,0:3,national_team_competition,Argentina,Croatia
