nation,season,players_n,rows_n,minutes_total,matches_total,goals_total,xg_total,np_goals_total,np_xg_total,assists_total,xa_total,shots_total,key_passes_total,xgchain_total,xgbuildup_total,xg_plus_xa_total,npg_plus_xa_total,yellow_cards_total,red_cards_total,market_value_total,market_value_top5_sum,market_value_top3_sum,market_value_top1,market_value_hhi,caps_total,international_goals_total,top1_xg,top3_xg,top5_xg,top1_np_xg,top3_np_xg,top5_np_xg,top1_xg_share,top3_xg_share,top5_xg_share,top1_np_xg_share,top3_np_xg_share,top5_np_xg_share,xg_hhi,np_xg_hhi,players_over_1000_min,players_over_500_min,players_over_250_min,players_xg_gt_1,players_xg_gt_3,players_xg_gt_5,goalkeeper_minutes,defender_minutes,midfield_minutes,attack_minutes,age_mean,age_sd,age_min,age_max,market_value_mean,market_value_sd,caps_mean,caps_sd,international_goals_mean,international_goals_sd,xg_per90_weighted,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,xgchain_per90_weighted,xgbuildup_per90_weighted,goals_per90_weighted,assists_per90_weighted,season_num,minutes_per_player,goals_minus_xg,goals_minus_np_xg,xg_per90,np_xg_per90,xa_per90,shots_per90,key_passes_per90,xgchain_per90,xgbuildup_per90,goals_per90,assists_per90,xg_per_shot,np_xg_per_shot,attack_minutes_share,midfield_minutes_share,defender_minutes_share,goalkeeper_minutes_share,attack_depth_index
Egypt,2425,3,3,6079,85,49,44.76140724122524,38,36.395334381610155,27,22.752773854881525,250,129,71.31304172240198,22.50638669822365,67.51418109610677,22.752773854881525,6,0,94000000,94000000,94000000,60000000,0.5110909913988231,219,89,27.70626749098301,44.76140724122524,44.76140724122524,20.855747912079096,36.395334381610155,36.395334381610155,0.6189766854663484,1,1,0.5730335568126308,1,1,0.4594261304459,0.4215798361296085,3,3,3,3,3,3,0,0,0,6079,31.129993442504738,3.5448331761629546,27.18082191780822,33.83013698630137,32058562.263530187,28023799.4093116,86.18555683500576,35.34119409414458,41.48938970225366,30.664855018951798,0.6626956163366132,0.3368563327750184,3.7012666556999507,1.9098535943411745,1.0557943337746631,0.33320855450569636,0.7254482645171904,0.39973679881559465,2425,2026.3333333333333,4.238592758774757,12.604665618389845,0.6626956163366132,0.5388353502788146,0.3368563327750185,3.7012666556999507,1.9098535943411747,1.0557943337746631,0.3332085545056964,0.7254482645171904,0.3997367988155947,0.17904562896490098,0.14558133752644062,1,0,0,0,1
Uzbekistan,2122,1,1,716,28,3,4.569236539304256,3,4.569236539304256,4,2.9085294511169195,31,20,8.52180878072977,1.4449653150513768,7.477765990421176,2.9085294511169195,2,0,7000000,7000000,7000000,7000000,1,89,44,4.569236539304256,4.569236539304256,4.569236539304256,4.569236539304256,4.569236539304256,4.569236539304256,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,716,30.79178082191781,NA,30.791780821917808,30.791780821917808,7000000,NA,89,NA,44,NA,0.5743453750522111,0.3655972773750318,3.8966480446927374,2.5139664804469275,1.0711770813766472,0.18162971837237968,0.3770949720670391,0.5027932960893855,2122,716,-1.5692365393042564,-1.5692365393042564,0.5743453750522111,0.5743453750522111,0.3655972773750318,3.896648044692738,2.513966480446927,1.071177081376647,0.18162971837237976,0.3770949720670391,0.5027932960893855,0.14739472707433085,0.14739472707433085,1,0,0,0,1
Egypt,2324,5,5,6981,95,38,41.34816528856754,28,32.22421897388995,18,19.78588874451816,260,130,56.67714090272784,13.132641764357686,61.134054033085704,19.78588874451816,12,1,97500000,97500000,94000000,60000000,0.4763445101906641,323,97,21.94127439334989,41.22259712591767,41.34816528856754,16.613166783005,32.09865081124008,32.22421897388995,0.5306468676475106,0.9969631503169842,1,0.5155490904672047,0.9961032984926147,1,0.3939636452176739,0.3901524624958398,3,3,3,3,3,3,12,0,18,6951,29.999476073020116,3.9691959884711974,27.18082191780822,36.4986301369863,32362031.85535945,26781134.52911707,74.7159432746025,45.35746906519366,31.290932531155995,25.996153561632923,0.5330661618637844,0.2550823645619014,3.35195530726257,1.675977653631285,0.7306893971129502,0.16930780100160311,0.48990116029222175,0.23205844434894707,2324,1396.2,-3.348165288567543,5.775781026110053,0.5330661618637844,0.41543900696892927,0.25508236456190153,3.35195530726257,1.675977653631285,0.7306893971129502,0.16930780100160317,0.48990116029222175,0.23205844434894712,0.15903140495602902,0.12393930374573056,0.9957026214009455,0.002578427159432746,0,0.0017189514396218307,0.6
Egypt,2122,4,4,5176,73,26,29.710973956622183,21,24.38618326652795,20,12.392168525606394,198,103,44.13850167859346,18.169658691622317,42.10314248222858,12.392168525606394,5,0,98000000,98000000,94500000,60000000,0.4719387755102041,354,105,24.364288866519928,29.66049045789987,29.710973956622183,19.79727490246296,24.335699767805636,24.38618326652795,0.8200434257756619,0.9983008467243106,1,0.8118234282950031,0.9979298318982287,1,0.702425766310676,0.691388776490675,2,3,3,2,2,2,0,0,785,4391,31.726954754292734,3.117987471875608,27.18082191780822,33.83013698630137,35365823.02936631,26655205.87052368,90.40340030911901,29.60292778313208,39.01101236476043,26.562818625539975,0.5166127619969081,0.2154743368053662,3.4428129829984546,1.7909582689335395,0.7674778112583871,0.3159330143442829,0.4520865533230294,0.34775888717156106,2122,1294,-3.7109739566221833,1.6138167334720492,0.5166127619969081,0.4240255977564752,0.2154743368053662,3.4428129829984546,1.7909582689335395,0.7674778112583871,0.31593301434428295,0.4520865533230294,0.34775888717156106,0.15005542402334435,0.12316254175014117,0.848338485316847,0.151661514683153,0,0,0.75
Iraq,2425,2,2,106,13,0,0.5323996320366859,0,0.5323996320366859,0,0.0784954708069562,4,2,0.6907828329131007,0.2454970953986048,0.6108951028436422,0.0784954708069562,3,0,2550000,2550000,2550000,2000000,0.6616685890042291,50,6,0.5323996320366859,0.5323996320366859,0.5323996320366859,0.5323996320366859,0.5323996320366859,0.5323996320366859,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,106,23.97787542000517,1.3367224082704594,22.23013698630137,24.12054794520548,1890566.0377358492,1025304.8327204939,17.358490566037737,12.727922061357855,3.849056603773585,1.4142135623730951,0.4520374234273748,0.06664709785496284,3.3962264150943398,1.6981132075471699,0.586513726058293,0.2084409300554192,0,0,2425,53,-0.5323996320366859,-0.5323996320366859,0.4520374234273749,0.4520374234273749,0.06664709785496281,3.3962264150943393,1.6981132075471697,0.5865137260582931,0.20844093005541917,0,0,0.13309990800917149,0.13309990800917149,1,0,0,0,0
Egypt,2223,6,6,9370,146,38,42.81977377831936,36,39.77509772032499,15,12.90830017440021,280,105,61.25400207750499,16.133742501959205,55.72807395271957,12.90830017440021,15,0,97500000,97500000,94000000,60000000,0.4763445101906641,378,98,23.340063713490963,37.41705371811986,42.81977377831936,20.295387655496597,34.372377660125494,39.77509772032499,0.5450767637008997,0.8738265155680243,1,0.5102536214543527,0.8641682768905249,1,0.36706674813857054,0.3414369482246294,4,4,4,4,4,4,0,0,2645,6725,32.26865045832663,3.4478764304499387,27.18082191780822,36.032876712328765,28721134.020618558,26781134.52911707,74.05997865528282,39.53732413808502,27.72262540021345,24.434947650172422,0.4112891825025339,0.12398580743820904,2.6894343649946637,1.0085378868729988,0.5883522077882016,0.15496657685980023,0.3649946638207044,0.144076840981857,2223,1561.6666666666667,-4.819773778319359,-1.7750977203249931,0.4112891825025339,0.38204469528593915,0.12398580743820907,2.6894343649946637,1.0085378868729988,0.5883522077882016,0.15496657685980025,0.36499466382070433,0.144076840981857,0.1529277634939977,0.1420539204297321,0.7177161152614728,0.2822838847385272,0,0,0.6666666666666666
Canada,2223,6,6,8050,104,35,35.83811819925904,23,25.990591440349817,12,14.051374735310674,187,122,62.7793742287904,27.622246807441115,49.88949293456972,14.051374735310674,11,0,53575000,53300000,50300000,45000000,0.7125594644600297,327,56,25.02564121969044,34.842923750169575,35.81162566319108,16.66466967947781,24.99539699126035,25.964098904281855,0.6982967431645963,0.9722308397010074,0.9992607721219997,0.6411808564543199,0.9617094343015046,0.9989806874488114,0.5368098345317182,0.47445156502574776,3,5,5,3,2,2,691,2054,3193,2112,31.003638220028932,5.104830180728733,25.446575342465753,38.47397260273973,12765518.633540373,17702347.41966914,73.07577639751553,38.34970664816095,12.976770186335404,11.707547423208101,0.4006746134078651,0.1570961150531628,2.0906832298136644,1.3639751552795032,0.7018812025579051,0.3088201506421988,0.391304347826087,0.13416149068322977,2223,1341.6666666666667,-0.8381181992590427,9.009408559650183,0.4006746134078651,0.2905780409480104,0.15709611505316282,2.0906832298136644,1.3639751552795032,0.7018812025579051,0.3088201506421988,0.391304347826087,0.13416149068322983,0.19164769090512856,0.1389871200018707,0.26236024844720496,0.39664596273291924,0.25515527950310557,0.08583850931677019,0.8333333333333334
Cape Verde,2122,1,1,198,3,1,0.8664800133556128,1,0.8664800133556128,0,0.0392397008836269,6,1,1.2300002127885818,0.4138472005724907,0.9057197142392396,0.0392397008836269,0,0,800000,800000,800000,800000,1,24,3,0.8664800133556128,0.8664800133556128,0.8664800133556128,0.8664800133556128,0.8664800133556128,0.8664800133556128,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,198,27.832876712328765,NA,27.832876712328765,27.832876712328765,800000,NA,24,NA,3,NA,0.39385455152527843,0.0178362276743758,2.727272727272727,0.4545454545454545,0.5590910058129918,0.18811236389658656,0.4545454545454545,0,2122,198,0.13351998664438725,0.13351998664438725,0.39385455152527854,0.39385455152527854,0.017836227674375864,2.7272727272727275,0.4545454545454546,0.5590910058129918,0.1881123638965867,0.4545454545454546,0,0.1444133355592688,0.1444133355592688,1,0,0,0,0
Iran,2223,2,2,991,38,4,4.25132860802114,4,4.25132860802114,1,3.2474251110106707,29,18,8.185354402288795,1.7263727094978094,7.498753719031811,3.2474251110106707,1,0,10000000,10000000,10000000,8000000,0.6800000000000002,154,59,4.1958376076072454,4.25132860802114,4.25132860802114,4.1958376076072454,4.25132860802114,4.25132860802114,0.9869473744492021,1,1,0.9869473744492021,1,1,0.974235490965943,0.974235490965943,0,1,1,1,1,0,0,0,93,898,31.406118076386104,0.9337684069367534,31.28219178082192,32.602739726027394,7436932.391523713,4242640.687119286,88.372351160444,19.79898987322333,51.83854692230071,38.890872965260115,0.38609442454278764,0.2949225630584867,2.6337033299697277,1.6347124117053482,0.7433722464238057,0.15678460530252558,0.3632694248234106,0.09081735620585259,2223,495.5,-0.2513286080211401,-0.2513286080211401,0.3860944245427877,0.3860944245427877,0.29492256305848674,2.6337033299697277,1.6347124117053482,0.7433722464238057,0.15678460530252558,0.3632694248234107,0.09081735620585267,0.14659753820762553,0.14659753820762553,0.9061553985872856,0.09384460141271443,0,0,0.5
Iran,2425,1,1,781,26,1,3.3251225762069225,0,2.563823733478785,2,1.829333458095789,14,15,6.388202100992203,2.292017860338092,5.1544560343027115,1.829333458095789,1,0,2500000,2500000,2500000,2500000,1,101,55,3.3251225762069225,3.3251225762069225,3.3251225762069225,2.563823733478785,2.563823733478785,2.563823733478785,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,781,33.73972602739726,NA,33.73972602739726,33.73972602739726,2500000,NA,101,NA,55,NA,0.3831767373349847,0.21080667250783727,1.6133162612035852,1.7285531370038412,0.7361564520989734,0.2641249775037493,0.115236875800256,0.2304737516005121,2425,781,-2.3251225762069225,-1.563823733478785,0.3831767373349847,0.29544703714864357,0.21080667250783738,1.6133162612035852,1.7285531370038412,0.7361564520989735,0.2641249775037494,0.11523687580025607,0.23047375160051214,0.23750875544335162,0.18313026667705606,1,0,0,0,1
