match_number,stage,team_a_slot,team_b_slot,winner_advances_to,loser_advances_to,time_et
73,round_of_32,2A,2B,90,NA,15:00
74,round_of_32,1E,3ABCDF,89,NA,16:30
75,round_of_32,1F,2C,90,NA,21:00
76,round_of_32,1C,2F,91,NA,13:00
77,round_of_32,1I,3CDFGH,89,NA,17:00
78,round_of_32,2E,2I,91,NA,13:00
79,round_of_32,1A,3CEFHI,92,NA,21:00
80,round_of_32,1L,3EHIJK,92,NA,12:00
81,round_of_32,1D,3BEFIJ,94,NA,20:00
82,round_of_32,1G,3AEHIJ,94,NA,16:00
83,round_of_32,2K,2L,93,NA,19:00
84,round_of_32,1H,2J,93,NA,15:00
85,round_of_32,1B,3EFGIJ,96,NA,23:00
86,round_of_32,1J,2H,95,NA,18:00
87,round_of_32,1K,3DEIJL,96,NA,21:30
88,round_of_32,2D,2G,95,NA,14:00
89,round_of_16,W74,W77,97,NA,17:00
90,round_of_16,W73,W75,97,NA,13:00
91,round_of_16,W76,W78,99,NA,16:00
92,round_of_16,W79,W80,99,NA,20:00
93,round_of_16,W83,W84,98,NA,15:00
94,round_of_16,W81,W82,98,NA,20:00
95,round_of_16,W86,W88,100,NA,12:00
96,round_of_16,W85,W87,100,NA,16:00
97,quarter_final,W89,W90,101,NA,16:00
98,quarter_final,W93,W94,101,NA,15:00
99,quarter_final,W91,W92,102,NA,17:00
100,quarter_final,W95,W96,102,NA,21:00
101,semi_final,W97,W98,104,103,15:00
102,semi_final,W99,W100,104,103,15:00
103,bronze_final,L101,L102,NA,NA,17:00
104,final,W101,W102,NA,NA,15:00
