player,wikidata_id,wikidata_label,wikidata_description,nation,nation_source
Aaron Cresswell,Q3603066,Aaron Cresswell,English association football player,England,
Aaron Hickey,Q64010525,Aaron Hickey,Scottish association football player,Scotland,
Aaron Lennon,Q175303,Aaron Lennon,English association football player,England,
Aaron Ramsdale,Q27967807,Aaron Ramsdale,English association football player (born 1998),England,
Aaron Ramsey,Q213427,Aaron Ramsey,Welsh association football player (born 1990),Wales,
Aaron Wan-Bissaka,Q50137347,Aaron Wan-Bissaka,English association football player (born 1997),England,
Aaron Zehnter,Q116671580,Aaron Zehnter,German footballer,Germany,
Aarón Martín,Q27107030,Aarón Martín,Spanish association football player,Spain,
Abakar Sylla,Q112115276,Abakar Sylla,Ivorian football player,Ivory Coast,
Abdallah Sima,Q100999415,Abdallah Sima,Senegalese association football player,Senegal,
Abdelhamid Sabiri,Q28549795,Abdelhamid Sabiri,Moroccan association football player,Morocco,
Abdelkabir Abqar,Q56600183,Abdel Abqar,association football player,Morocco,
Abdessamad Ezzalzouli,Q109327842,Abde Ezzalzouli,Moroccan association football player,Spain,
Abdou Harroui,Q50133010,Abdou Harroui,Dutch and Moroccan association football player,Morocco,
Abdoulaye Bamba,Q2821362,Abdoulaye Bamba,Ivorian and Italian footballer,Italy,
Abdoulaye Doucouré,Q13427925,Abdoulaye Doucouré,French-Malian footballer (born 1993),France,
Abdoulaye Touré,Q16236605,Abdoulaye Touré,Guinean and French footballer,France,
Abdu Conté,Q28595234,Abdu Conté,association football player,Portugal,
Abdul Mumin,Q27064119,Abdul Mumin,Ghanaian association football player,Ghana,
Abdón Prats,Q4666349,Abdón Prats,Mallorcan footballer,Spain,
Abel Bretones,Q113576903,Abel Bretones,Spanish footballer,Spain,
Abel Ruiz,Q38103648,Abel Ruiz,Spanish association football player,Spain,
Ablie Jallow,Q33183524,Ablie Jallow,Gambian association football player,The Gambia,
Achraf Dari,Q60616722,Achraf Dari,Moroccan association football player,Morocco,
Achraf Hakimi,Q26932598,Achraf Hakimi,Moroccan association football player,Spain,
Adam Armstrong,Q16023869,Adam Armstrong,English association football player,England,
Adam Daghim,Q112970825,Adam Daghim,danish-Palestinian footballer,Kingdom of Denmark,
Adam Dzwigala,Q10553907,Adam Dźwigała,Polish footballer,Poland,
Adam Forshaw,Q4492089,Adam Forshaw,English association football player (born 1991),England,
Adam Hlozek,Q59782306,Adam Hložek,Czech association football player,Czech Republic,
Adam Lallana,Q59719,Adam Lallana,English association football player,England,
Adam Marusic,Q16234793,Adam Marušić,Serbian footballer,Montenegro,
Adam Masina,Q20718823,Adam Masina,Moroccan association football player,Morocco,
Adam Obert,Q66466838,Adam Obert,Slovak association football player,Slovakia,
Adam Ounas,Q21403452,Adam Ounas,Algerian and French footballer,France,
Adam Smith,Q59065,Adam Smith,English association football player (born 1991),England,
Adam Webster,Q4679961,Adam Webster,English association football player (born 1995),England,
Adam Wharton,Q113488911,Adam Wharton,English association football player (born 2004),England,
Adama Boiro,Q124356417,Adama Boiro,Senegalese footballer (born 2002),Spain,
Adama Camara,Q122460961,Adama Camara,French footballer (born 1996),France,
Adama Soumaoro,Q16149338,Adama Soumaoro,French and Malian footballer,France,
Adama Traoré,Q110918343,Adama Traoré,"Ivorian professional footballer, born 2000",Ivory Coast,
Ademola Lookman,Q21484766,Ademola Lookman,Nigerian-English association football player (born 1997),England,
Adil Aouchiche,Q63636233,Adil Aouchiche,French footballer,France,
Adil Rami,Q1909,Adil Rami,French footballer (born 1985),France,
Adnan Januzaj,Q14558450,Adnan Januzaj,Belgian association football player (born 1995),Belgium,
Ado Onaiwu,Q17225629,Ado Onaiwu,Japanese association football player,Japan,
Adrian Semper,Q25425746,Adrian Šemper,Croatian football player,Croatia,
Adrien Hunou,Q14780804,Adrien Hunou,French footballer,France,
Adrien Rabiot,Q18962,Adrien Rabiot,French footballer (born 1995),France,
Adrien Silva,Q2724855,Adrien Silva,Portuguese association football player,Portugal,
Adrien Tameze,Q20896002,Adrien Tameze,Cameroonian and French footballer,France,
Adrien Thomasson,Q18938815,Adrien Thomasson,French footballer (born 1993),France,
Adrien Truffert,Q98198106,Adrien Truffert,French footballer (born 2001),France,
Adrià Alti,Q112265111,Adrià Altimira,Spanish footballer,Spain,
Adrià Pedrosa,Q58174944,Adrià Pedrosa,association football player,Spain,
Adrián,Q3557182,Adrián,Spanish association football player,Spain,
Adrián Bernabé,Q56809124,Adrián Bernabé,Spanish association football player,Spain,
Adrián De la Fuente,Q59915026,Adrián de la Fuente,football player,Spain,
Adrián Embarba,Q15222370,Adrián Embarba Blázquez,Spanish footballer,Spain,
Adrián Liso,Q124973292,Adrián Liso Lahoz,Spanish footballer,Spain,
Afonso Moreira,Q121423143,Afonso Moreira,Portuguese footballer,Portugal,
Agustín Marchesín,Q2479934,Agustín Marchesín,Argentine association football player,Argentina,
Agustín Rogel,Q28816035,Agustín Rogel,association football player,Italy,
Ahmadou Bamba Dieng,Q105426667,Ahmadou Bamba Dieng,Senegalese association football player,Senegal,
Aihen Muñoz,Q60466652,Aihen Muñoz,Spanish footballer,Spain,
Aimar Oroz,Q64735295,Aimar Oroz,Spanish footballer,Spain,
Ainsley Maitland-Niles,Q18614641,Ainsley Maitland-Niles,English association football player,England,
Aissa Laidouni,Q26838702,Aïssa Laïdouni,"Tunisian, Algerian and French association football player",France,
Aissa Mandi,Q2876432,Aïssa Mandi,Algerian association football player,Algeria,
Aitor Fernández,Q3754541,Aitor Fernández Abarisketa,Spanish association football player,Spain,
Aitor Paredes,Q100386793,Aitor Paredes,Spanish association football player,Spain,
Aitor Ruibal,Q46748781,Aitor Ruibal,Spanish association football player,Spain,
Aiyegun Tosin,Q42269390,Tosin Aiyegun,Nigerian footballer,Switzerland,
Ajdin Hrustic,Q29109911,Ajdin Hrustic,Australian association football player,Australia,
Akim Zedadka,Q27735177,Akim Zedadka,Algerian and French footballer,France,
Akor Adams,Q62059870,Akor Adams,Nigerian association football player,Nigeria,
Alan Virginius,Q99485545,Alan Virginius,French footballer,France,
Alassane Pléa,Q4708679,Alassane Pléa,French footballer (born 1993),France,
Alban Lafont,Q21590318,Alban Lafont,French association football player (born 1999),France,
Albert Gudmundsson,Q21171299,Albert Guðmundsson,Icelandic association football player (born 1997),Iceland,
Albert Sambi Lokonga,Q46694474,Albert Sambi Lokonga,Belgian association football player,Belgium,
Alberth Elis,Q17620504,Alberth Elis,Honduran footballer,Honduras,
Alberto Dossena,Q28973485,Alberto Dossena,Italian association football player,Italy,
Alberto Grassi,Q18637410,Alberto Grassi,Italian association football player,Italy,
Alberto Moleiro,Q108108918,Alberto Moleiro,Spanish association football player,Spain,
