match_number,stage,team_a_slot,team_b_slot,team_a,team_b,lambda_a,lambda_b,reg_goals_a,reg_goals_b,et_goals_a,et_goals_b,penalty_goals_a,penalty_goals_b,penalty_prob_a,penalty_prob_b,penalty_rounds,resolution,winner,loser,winner_slot,loser_slot,decision_rule,model_name,score_model_name,winner_model_name,history_scope,sim_id
73,round_of_32,2A,2B,Czech Republic,Bosnia-Herzegovina,1.4866602054450742,1.5955093527542399,1,2,0,0,0,0,NA,NA,0,regular,Bosnia-Herzegovina,Czech Republic,W73,L73,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
74,round_of_32,1E,3ABCDF,Cote d'Ivoire,New Zealand,1.6469061839618888,9407.328474725002,2,9407,0,0,0,0,NA,NA,0,regular,New Zealand,Cote d'Ivoire,W74,L74,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
75,round_of_32,1F,2C,Japan,Morocco,0.8052353025677498,0.5882054068102126,1,1,0,0,5,3,0.7543105604165179,0.7456894395834821,5,penalties,Japan,Morocco,W75,L75,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
76,round_of_32,1C,2F,Brazil,Netherlands,0.9912026908026794,1.327339701733265,1,1,0,0,5,4,0.7433875761986997,0.7566124238013003,5,penalties,Brazil,Netherlands,W76,L76,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
77,round_of_32,1I,3CDFGH,Iraq,Argentina,0.4580313843396845,2.964934632923549,0,3,0,0,0,0,NA,NA,0,regular,Argentina,Iraq,W77,L77,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
78,round_of_32,2E,2I,Curacao,Norway,0.9189850668751761,4.410357735707837,1,4,0,0,0,0,NA,NA,0,regular,Norway,Curacao,W78,L78,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
79,round_of_32,1A,3CEFHI,South Africa,Qatar,0.5460598017571833,0.7785282201657434,1,1,0,0,5,3,0.745387501030732,0.754612498969268,5,penalties,South Africa,Qatar,W79,L79,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
80,round_of_32,1L,3EHIJK,Panama,Scotland,0.8189800086033012,1.4487189748029472,1,1,0,0,5,4,0.7380964854824564,0.7619035145175436,5,penalties,Panama,Scotland,W80,L80,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
81,round_of_32,1D,3BEFIJ,Paraguay,"Korea, South",2.141276664537656,2.1054555937085127,2,2,1,1,5,6,0.7507162852586785,0.7492837147413215,8,penalties,"Korea, South",Paraguay,W81,L81,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
82,round_of_32,1G,3AEHIJ,Iran,Croatia,0.6594739656691628,4.32548316024882,1,4,0,0,0,0,NA,NA,0,regular,Croatia,Iran,W82,L82,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
83,round_of_32,2K,2L,Portugal,England,1.2860274792245099,2.113364505917416,1,2,0,0,0,0,NA,NA,0,regular,England,Portugal,W83,L83,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
84,round_of_32,1H,2J,Spain,Algeria,1.8799860646233995,0.774560695042213,2,1,0,0,0,0,NA,NA,0,regular,Spain,Algeria,W84,L84,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
85,round_of_32,1B,3EFGIJ,Canada,Turkiye,2.2270310733037557,0.6058171051499629,2,1,0,0,0,0,NA,NA,0,regular,Canada,Turkiye,W85,L85,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
