match_number,stage,team_a_slot,team_b_slot,team_a,team_b,lambda_a,lambda_b,reg_goals_a,reg_goals_b,et_goals_a,et_goals_b,penalty_goals_a,penalty_goals_b,penalty_prob_a,penalty_prob_b,penalty_rounds,resolution,winner,loser,winner_slot,loser_slot,decision_rule,model_name,score_model_name,winner_model_name,history_scope,sim_id
73,round_of_32,2A,2B,Czech Republic,Bosnia-Herzegovina,1.5401234567901223,1.5401234567901223,2,2,1,1,3,4,0.75,0.75,5,penalties,Bosnia-Herzegovina,Czech Republic,W73,L73,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
74,round_of_32,1E,3ABCDF,Cote d'Ivoire,New Zealand,1.5401234567901223,10059.575010873074,2,10060,0,0,0,0,NA,NA,0,regular,New Zealand,Cote d'Ivoire,W74,L74,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
75,round_of_32,1F,2C,Japan,Morocco,0.9092119431294391,0.5209387781407289,1,1,0,0,3,4,0.7575965531910243,0.7424034468089757,5,penalties,Morocco,Japan,W75,L75,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
76,round_of_32,1C,2F,Brazil,Netherlands,1.321603587736906,0.9955047762999488,1,1,0,0,5,4,0.7564211341008514,0.7435788658991486,5,penalties,Brazil,Netherlands,W76,L76,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
77,round_of_32,1I,3CDFGH,Iraq,Argentina,0.6107085124529127,2.2237009746926617,1,2,0,0,0,0,NA,NA,0,regular,Argentina,Iraq,W77,L77,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
78,round_of_32,2E,2I,Curacao,Norway,1.049319309473298,3.8625543836864416,1,4,0,0,0,0,NA,NA,0,regular,Norway,Curacao,W78,L78,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
79,round_of_32,1A,3CEFHI,South Africa,Qatar,0.558742122637717,0.7608571975192286,1,1,0,0,4,3,0.7459819858466679,0.7540180141533321,6,penalties,South Africa,Qatar,W79,L79,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
80,round_of_32,1L,3EHIJK,Panama,Scotland,1.0919733448044016,1.0865392311022104,1,1,0,0,5,6,0.750108681798588,0.749891318201412,7,penalties,Scotland,Panama,W80,L80,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
81,round_of_32,1D,3BEFIJ,Paraguay,"Korea, South",2.174117208085201,2.0736521997353314,2,2,1,1,6,5,0.7520063010587885,0.7479936989412115,6,penalties,Paraguay,"Korea, South",W81,L81,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
82,round_of_32,1G,3AEHIJ,Iran,Croatia,0.7958385275671883,3.584324500906558,1,4,0,0,0,0,NA,NA,0,regular,Croatia,Iran,W82,L82,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
83,round_of_32,2K,2L,Portugal,England,1.5475785858562918,1.7561918038066635,2,2,1,1,3,5,0.7458544291015932,0.7541455708984068,5,penalties,England,Portugal,W83,L83,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
84,round_of_32,1H,2J,Spain,Algeria,1.7621706775096406,0.8263463530912196,2,1,0,0,0,0,NA,NA,0,regular,Spain,Algeria,W84,L84,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
85,round_of_32,1B,3EFGIJ,Canada,Turkiye,1.9077921172994823,0.7071910538228233,2,1,0,0,0,0,NA,NA,0,regular,Canada,Turkiye,W85,L85,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
86,round_of_32,1J,2H,Jordan,Uruguay,0.4616908633916252,1.967525417515197,0,2,0,0,0,0,NA,NA,0,regular,Uruguay,Jordan,W86,L86,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
87,round_of_32,1K,3DEIJL,Colombia,France,1.1351950066138756,1.7321223591501747,1,2,0,0,0,0,NA,NA,0,regular,France,Colombia,W87,L87,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
88,round_of_32,2D,2G,United States,Egypt,1.2911059844205959,0.7125294248007288,1,1,0,0,3,5,0.7610298792316519,0.7389701207683481,5,penalties,Egypt,United States,W88,L88,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
89,round_of_16,W74,W77,New Zealand,Argentina,0.5873466700055222,3.0289307577371516,1,3,0,0,0,0,NA,NA,0,regular,Argentina,New Zealand,W89,L89,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
90,round_of_16,W73,W75,Bosnia-Herzegovina,Morocco,1.5401234567901223,1.5401234567901223,2,2,1,1,5,4,0.75,0.75,5,penalties,Bosnia-Herzegovina,Morocco,W90,L90,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
91,round_of_16,W76,W78,Brazil,Norway,2.456088842428663,0.9111301611732834,2,1,0,0,0,0,NA,NA,0,regular,Brazil,Norway,W91,L91,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
92,round_of_16,W79,W80,South Africa,Scotland,0.8214344641713399,0.41998078283784435,1,0,0,0,0,0,NA,NA,0,regular,South Africa,Scotland,W92,L92,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
93,round_of_16,W83,W84,England,Spain,2.0994257353823156,2.019429437652004,2,2,1,1,5,6,0.7515984108518449,0.7484015891481551,8,penalties,Spain,England,W93,L93,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
94,round_of_16,W81,W82,Paraguay,Croatia,0.8857613888165596,2.336964934941373,1,2,0,0,0,0,NA,NA,0,regular,Croatia,Paraguay,W94,L94,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
95,round_of_16,W86,W88,Uruguay,Egypt,1.7228067135588991,1.0830654379509028,2,1,0,0,0,0,NA,NA,0,regular,Uruguay,Egypt,W95,L95,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
96,round_of_16,W85,W87,Canada,France,0.7559804658535287,3.0405524605541445,1,3,0,0,0,0,NA,NA,0,regular,France,Canada,W96,L96,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
97,quarter_final,W89,W90,Argentina,Bosnia-Herzegovina,1.5401234567901223,1.5401234567901223,2,2,1,1,5,4,0.75,0.75,5,penalties,Argentina,Bosnia-Herzegovina,W97,L97,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
98,quarter_final,W93,W94,Spain,Croatia,1.5097465620052155,1.7091169008971134,2,2,1,1,6,7,0.746035909005527,0.753964090994473,9,penalties,Croatia,Spain,W98,L98,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
99,quarter_final,W91,W92,Brazil,South Africa,2.3652595653763084,0.47731068621411943,2,0,0,0,0,0,NA,NA,0,regular,Brazil,South Africa,W99,L99,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
100,quarter_final,W95,W96,Uruguay,France,1.0659780102391256,2.2442219315232856,1,2,0,0,0,0,NA,NA,0,regular,France,Uruguay,W100,L100,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
101,semi_final,W97,W98,Argentina,Croatia,1.9313487414132706,2.777500522682008,2,3,0,0,0,0,NA,NA,0,regular,Croatia,Argentina,W101,L101,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
102,semi_final,W99,W100,Brazil,France,1.6796325748747551,1.836622568677618,2,2,1,1,3,4,0.7468716142730063,0.7531283857269937,5,penalties,France,Brazil,W102,L102,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
103,bronze_final,L101,L102,Argentina,Brazil,0.7961285417628353,1.0556756481492948,1,1,0,0,6,5,0.7448602502543794,0.7551397497456206,7,penalties,Argentina,Brazil,W103,L103,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
104,final,W101,W102,Croatia,France,1.7902497595321756,1.8049829885113688,2,2,1,1,5,6,0.7497053448959411,0.7502946551040589,9,penalties,France,Croatia,W104,L104,most_probable,score_only,score_poisson_glm,score_only,full_history_80_20,0
