model_name,team,final_position,count,prob,score_model_name,winner_model_name,history_scope
score_only,Algeria,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Argentina,Fourth place,38,0.19,score_poisson_glm,score_only,full_history_80_20
score_only,Argentina,Quarter-final,68,0.34,score_poisson_glm,score_only,full_history_80_20
score_only,Argentina,Runner-up,18,0.09,score_poisson_glm,score_only,full_history_80_20
score_only,Argentina,Third place,76,0.38,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Champion,4,0.02,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Fourth place,8,0.04,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Quarter-final,26,0.13,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Round of 16,56,0.28,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Round of 32,95,0.475,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Runner-up,3,0.015,score_poisson_glm,score_only,full_history_80_20
score_only,Bosnia-Herzegovina,Third place,8,0.04,score_poisson_glm,score_only,full_history_80_20
score_only,Brazil,Champion,24,0.12,score_poisson_glm,score_only,full_history_80_20
score_only,Brazil,Fourth place,15,0.075,score_poisson_glm,score_only,full_history_80_20
score_only,Brazil,Round of 32,108,0.54,score_poisson_glm,score_only,full_history_80_20
score_only,Brazil,Runner-up,17,0.085,score_poisson_glm,score_only,full_history_80_20
score_only,Brazil,Third place,36,0.18,score_poisson_glm,score_only,full_history_80_20
score_only,Canada,Round of 16,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Colombia,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Cote d'Ivoire,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Croatia,Champion,47,0.235,score_poisson_glm,score_only,full_history_80_20
score_only,Croatia,Fourth place,6,0.03,score_poisson_glm,score_only,full_history_80_20
score_only,Croatia,Quarter-final,83,0.415,score_poisson_glm,score_only,full_history_80_20
score_only,Croatia,Runner-up,54,0.27,score_poisson_glm,score_only,full_history_80_20
score_only,Croatia,Third place,10,0.05,score_poisson_glm,score_only,full_history_80_20
score_only,Curacao,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Fourth place,6,0.03,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Quarter-final,31,0.155,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Round of 16,46,0.23,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Round of 32,105,0.525,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Runner-up,10,0.05,score_poisson_glm,score_only,full_history_80_20
score_only,Czech Republic,Third place,2,0.01,score_poisson_glm,score_only,full_history_80_20
score_only,Egypt,Round of 16,85,0.425,score_poisson_glm,score_only,full_history_80_20
score_only,Egypt,Round of 32,115,0.575,score_poisson_glm,score_only,full_history_80_20
score_only,England,Champion,10,0.05,score_poisson_glm,score_only,full_history_80_20
score_only,England,Quarter-final,34,0.17,score_poisson_glm,score_only,full_history_80_20
score_only,England,Round of 16,50,0.25,score_poisson_glm,score_only,full_history_80_20
score_only,England,Round of 32,99,0.495,score_poisson_glm,score_only,full_history_80_20
score_only,England,Runner-up,7,0.035,score_poisson_glm,score_only,full_history_80_20
score_only,France,Champion,104,0.52,score_poisson_glm,score_only,full_history_80_20
score_only,France,Fourth place,8,0.04,score_poisson_glm,score_only,full_history_80_20
score_only,France,Runner-up,55,0.275,score_poisson_glm,score_only,full_history_80_20
score_only,France,Third place,33,0.165,score_poisson_glm,score_only,full_history_80_20
score_only,Iran,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Iraq,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Champion,2,0.01,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Fourth place,11,0.055,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Quarter-final,27,0.135,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Round of 16,47,0.235,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Round of 32,99,0.495,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Runner-up,8,0.04,score_poisson_glm,score_only,full_history_80_20
score_only,Japan,Third place,6,0.03,score_poisson_glm,score_only,full_history_80_20
score_only,Jordan,Round of 32,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,"Korea, South",Round of 16,97,0.485,score_poisson_glm,score_only,full_history_80_20
score_only,"Korea, South",Round of 32,103,0.515,score_poisson_glm,score_only,full_history_80_20
score_only,Morocco,Quarter-final,48,0.24,score_poisson_glm,score_only,full_history_80_20
score_only,Morocco,Round of 16,51,0.255,score_poisson_glm,score_only,full_history_80_20
score_only,Morocco,Round of 32,101,0.505,score_poisson_glm,score_only,full_history_80_20
score_only,Netherlands,Fourth place,93,0.465,score_poisson_glm,score_only,full_history_80_20
score_only,Netherlands,Round of 32,92,0.46,score_poisson_glm,score_only,full_history_80_20
score_only,Netherlands,Third place,15,0.075,score_poisson_glm,score_only,full_history_80_20
score_only,New Zealand,Round of 16,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Norway,Round of 16,200,1,score_poisson_glm,score_only,full_history_80_20
score_only,Panama,Quarter-final,19,0.095,score_poisson_glm,score_only,full_history_80_20
score_only,Panama,Round of 16,89,0.445,score_poisson_glm,score_only,full_history_80_20
score_only,Panama,Round of 32,92,0.46,score_poisson_glm,score_only,full_history_80_20
score_only,Paraguay,Round of 16,103,0.515,score_poisson_glm,score_only,full_history_80_20
score_only,Paraguay,Round of 32,97,0.485,score_poisson_glm,score_only,full_history_80_20
score_only,Portugal,Champion,2,0.01,score_poisson_glm,score_only,full_history_80_20
score_only,Portugal,Fourth place,6,0.03,score_poisson_glm,score_only,full_history_80_20
