match_number,stage,team_a_slot,team_b_slot,team_a,team_b,lambda_a,lambda_b,reg_goals_a,reg_goals_b,et_goals_a,et_goals_b,penalty_goals_a,penalty_goals_b,penalty_prob_a,penalty_prob_b,penalty_rounds,resolution,winner,loser,winner_slot,loser_slot,decision_rule,model_name,score_model_name,winner_model_name,history_scope,sim_id
73,round_of_32,2A,2B,Czech Republic,Bosnia-Herzegovina,1.7963114097156878,1.3204727472785924,2,1,0,0,0,0,NA,NA,0,regular,Czech Republic,Bosnia-Herzegovina,W73,L73,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
74,round_of_32,1E,3ABCDF,Cote d'Ivoire,New Zealand,1.9177725690829088,8078.636481381219,2,8079,0,0,0,0,NA,NA,0,regular,New Zealand,Cote d'Ivoire,W74,L74,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
75,round_of_32,1F,2C,Japan,Morocco,0.7733484417027918,0.6124584122545313,1,1,0,0,4,3,0.7532055171566618,0.7467944828433382,5,penalties,Japan,Morocco,W75,L75,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
76,round_of_32,1C,2F,Brazil,Netherlands,0.9912026908026794,1.327339701733265,1,1,0,0,4,5,0.7433875761986997,0.7566124238013003,5,penalties,Netherlands,Brazil,W76,L76,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
77,round_of_32,1I,3CDFGH,Iraq,Argentina,0.4580313843396845,2.964934632923549,0,3,0,0,0,0,NA,NA,0,regular,Argentina,Iraq,W77,L77,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
78,round_of_32,2E,2I,Curacao,Norway,0.9915567615545186,4.087565186221635,1,4,0,0,0,0,NA,NA,0,regular,Norway,Curacao,W78,L78,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
79,round_of_32,1A,3CEFHI,South Africa,Qatar,0.5027297864453297,0.8456291571104457,1,1,0,0,2,1,0.7432590282419752,0.7567409717580248,5,penalties,South Africa,Qatar,W79,L79,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
80,round_of_32,1L,3EHIJK,Panama,Scotland,0.8189800086033012,1.4487189748029472,1,1,0,0,3,5,0.7380964854824564,0.7619035145175436,5,penalties,Scotland,Panama,W80,L80,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
81,round_of_32,1D,3BEFIJ,Paraguay,"Korea, South",2.0344438128050952,2.2160174209049175,2,2,1,1,4,5,0.7463861616633611,0.7536138383366389,5,penalties,"Korea, South",Paraguay,W81,L81,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
82,round_of_32,1G,3AEHIJ,Iran,Croatia,0.5968788956753912,4.779099334542077,1,5,0,0,0,0,NA,NA,0,regular,Croatia,Iran,W82,L82,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
