group,team,expected_points,expected_goal_diff,expected_goals_for,expected_goals_against,win_prob,draw_prob,loss_prob,mean_place,top_two_prob,group_win_prob,third_place_prob
A,Mexico,4.445,0.72,3.225,2.505,0.36666666666666664,0.38166666666666665,0.25166666666666665,2.155,0.64,0.35,0.215
A,Czech Republic,4.06,0.215,1.845,1.63,0.29666666666666663,0.4633333333333333,0.24,2.4,0.54,0.255,0.265
A,South Africa,3.515,-0.275,1.7,1.975,0.2383333333333333,0.45666666666666667,0.305,2.73,0.415,0.19,0.25
A,"Korea, South",3.485,-0.66,2.465,3.125,0.26666666666666666,0.36166666666666664,0.37166666666666665,2.715,0.405,0.205,0.27
B,Switzerland,5.955,2.9,6.285,3.385,0.5883333333333333,0.21999999999999997,0.19166666666666665,1.655,0.84,0.555,0.11
B,Bosnia-Herzegovina,4.13,0.005,4.56,4.555,0.3733333333333333,0.25666666666666665,0.37,2.38,0.56,0.245,0.255
B,Canada,3.16,-1.55,3.145,4.695,0.24833333333333332,0.30833333333333335,0.4433333333333333,3,0.305,0.1,0.29
B,Qatar,3.13,-1.355,2.61,3.965,0.24833333333333332,0.29833333333333334,0.4533333333333333,2.965,0.295,0.1,0.345
C,Brazil,7.615,7.715,9.715,2,0.8066666666666666,0.11833333333333332,0.075,1.16,0.99,0.85,0.01
C,Morocco,4.53,0.1,3.27,3.17,0.4133333333333333,0.26999999999999996,0.31666666666666665,2.3,0.69,0.135,0.185
C,Haiti,2.31,-4.405,2.435,6.84,0.18166666666666667,0.225,0.5933333333333333,3.27,0.13,0,0.47
C,Scotland,2.305,-3.41,1.935,5.345,0.185,0.21333333333333332,0.6016666666666667,3.27,0.19,0.015,0.335
D,United States,6.28,3.795,6.74,2.945,0.6366666666666666,0.18333333333333332,0.18,1.66,0.82,0.535,0.165
D,Paraguay,5.035,1.545,6.245,4.7,0.5033333333333333,0.1683333333333333,0.3283333333333333,2.19,0.605,0.265,0.335
D,Australia,4.655,0.725,4.975,4.25,0.45166666666666666,0.19666666666666666,0.3516666666666666,2.335,0.545,0.195,0.38
D,Turkiye,1.01,-6.065,1.705,7.77,0.06833333333333334,0.13166666666666665,0.7999999999999999,3.815,0.03,0.005,0.12
E,Germany,8.17,23381.47,23384.51,3.04,0.8833333333333333,0.07333333333333335,0.04333333333333333,1.285,0.995,0.72,0.005
E,Ecuador,6.01,25507.735,25512.37,4.635,0.6266666666666666,0.12333333333333332,0.25,1.79,0.935,0.275,0.065
E,Curacao,3.44,11742.27,11751.215,8.945,0.3633333333333333,0.056666666666666664,0.58,2.925,0.07,0.005,0.93
E,Cote d'Ivoire,0,-60631.475,4.61,60636.085,0,0,1,4,0,0,0
F,Netherlands,5.01,1.425,4.67,3.245,0.48,0.22999999999999998,0.29,2.135,0.66,0.345,0.2
F,Japan,4.685,0.795,3.825,3.03,0.425,0.2866666666666666,0.28833333333333333,2.17,0.64,0.305,0.245
F,Tunisia,3.51,-0.995,4.145,5.14,0.31333333333333335,0.23,0.45666666666666667,2.835,0.345,0.17,0.305
F,Sweden,3.36,-1.225,4,5.225,0.3033333333333333,0.21000000000000002,0.48666666666666664,2.86,0.355,0.18,0.25
G,Belgium,6.935,5.14,8.65,3.51,0.7083333333333333,0.18666666666666668,0.105,1.41,0.92,0.68,0.07
G,Egypt,5.085,3.15,10.46,7.31,0.5116666666666667,0.16,0.3283333333333333,2.105,0.715,0.24,0.225
G,Iran,2.995,-2.905,4.985,7.89,0.26,0.21833333333333332,0.5216666666666666,3,0.27,0.07,0.39
G,New Zealand,1.83,-5.385,4.025,9.41,0.135,0.205,0.66,3.485,0.095,0.01,0.315
H,Spain,7.445,6.45,8.495,2.045,0.7833333333333333,0.13166666666666665,0.08500000000000002,1.27,0.965,0.765,0.035
H,Uruguay,5.195,1.2,4.07,2.87,0.495,0.24666666666666665,0.2583333333333333,2.075,0.765,0.215,0.18
H,Saudi Arabia,2.605,-3.325,2.57,5.895,0.22666666666666666,0.18833333333333332,0.585,3.145,0.165,0.01,0.515
H,Cape Verde,1.6,-4.325,2.075,6.4,0.11000000000000001,0.20333333333333334,0.6866666666666666,3.51,0.105,0.01,0.27
I,France,7.195,5.27,7.3,2.03,0.7383333333333333,0.18333333333333332,0.07833333333333332,1.255,0.94,0.81,0.055
I,Norway,3.92,-0.88,3.62,4.5,0.35833333333333334,0.23166666666666666,0.41,2.605,0.495,0.105,0.3
I,Senegal,3.545,-0.815,3.125,3.94,0.30666666666666664,0.26166666666666666,0.43166666666666664,2.74,0.39,0.075,0.405
I,Iraq,2.045,-3.575,2.635,6.21,0.165,0.18666666666666665,0.6483333333333333,3.4,0.175,0.01,0.24
J,Argentina,6.765,5.055,8.975,3.92,0.7016666666666667,0.15,0.14833333333333332,1.435,0.89,0.695,0.09
J,Algeria,4.665,0.89,4.5,3.61,0.445,0.22,0.33499999999999996,2.3,0.62,0.17,0.29
J,Austria,3.835,-1.325,5.165,6.49,0.37,0.16833333333333333,0.46166666666666667,2.72,0.38,0.13,0.39
J,Jordan,1.66,-4.62,2.535,7.155,0.12499999999999999,0.17833333333333332,0.6966666666666667,3.545,0.11,0.005,0.23
K,Portugal,6.595,4.475,7.11,2.635,0.6733333333333333,0.17833333333333332,0.14833333333333332,1.435,0.945,0.63,0.045
K,Colombia,5.535,2.125,4.45,2.325,0.53,0.255,0.21499999999999997,1.9,0.82,0.325,0.135
K,DR Congo,2.4,-2.585,3.045,5.63,0.19499999999999995,0.215,0.59,3.32,0.12,0.025,0.415
K,Uzbekistan,2.25,-4.015,3.86,7.875,0.19499999999999998,0.165,0.64,3.345,0.115,0.02,0.405
L,England,6.26,5.14,9.505,4.365,0.6466666666666666,0.14666666666666667,0.20666666666666667,1.755,0.79,0.465,0.2
L,Croatia,6.26,4.515,8.1,3.585,0.6416666666666666,0.16166666666666663,0.19666666666666666,1.705,0.885,0.415,0.11
L,Ghana,3.96,-0.58,4.955,5.535,0.385,0.165,0.45,2.66,0.315,0.12,0.59
